formulas,bandgap
Tl1Ag1As2Pb1S5,1.588
Ag1B1H2O1F4,3.044
Ba2Zn1Ag2Se2O2,1.054
Rb1Cd1Ag3C6N6,2.7894
Cs5Ag4C8I1N8,2.6729
Ag1H8C4N8F1,3.8125
Ag1H2C2N3O1,3.2954
Ag1H6C4N2O2,2.3857
Ag1H3C1N3O4,0.8278
K1Mn1Ag3C6N6,1.544
K2Na1Ag3C6N6,2.7261
K3Ag1C4S4N4,3.5704
K2Ag1C3S3N3,3.206
K1Ag1C2S2N2,2.9337
Ag3C1S1N3O6,2.0935
Rb2Ag1C3S3N3,3.1003
Zn1Ag2C4S4N4,3.0003
Zn1Ag2C4S4N4,3.0618
Ag6Mo2Cl1O7F3,1.5595
La1Mg1Cr1Ag1O6,0.0216
K1V2Fe1Ag2O8,1.9542
La1Mg1Fe1Ag1O6,0.078
La1Zn1Fe1Ag1O6,0.1311
Rb1V2Fe1Ag2O8,2.0185
Ag1H2S1N1O3,2.8033
Ag1H4W1S4N1,1.7101
La5Ti2Ag1S5O7,1.5128
Sr1Mn1V2Ag2O8,1.8942
Ba1Al1B1O3F2,6.0642
Ba1Al1B1O3F2,6.0437
Y2Be1Al1B1O7,4.3404
Ba2Al1Tl1Co2O7,0.0317
Ba1Ti1Al1Cu1O5,0.0089
Ba1Al2Si3N4O4,3.5604
Ba1Al1Si4N5O3,3.2181
Ba1Al1Si5N7O2,1.5107
Ba2Al1Tl1Ni2O7,1.2311
Be1Al1Si1H1O5,5.3605
Na3Be1Al1Si2O8,4.3245
Sr2Al1Cu2Bi1O7,0.0096
Li1Al2H6Br1O6,4.7794
Al2Rh1C4Cl7O4,2.0207
K1Al1H2C1O5,5.0845
Na1Al1H2C1O5,4.9329
Na1Al1H2C1O5,5.044
K2Al1P1C1O7,4.9518
Li2Al1P1C1O7,5.7136
Na2Al1P1C1O7,5.0719
Ca2Al2Si1H2O8,4.4653
Ca1Al2Si1H4O8,4.6908
Na1Ca1Al1Si2O7,4.3592
Na1Ca1Al1Si2O7,3.9498
Ca1Sc1Al1Si1O6,4.8888
Al1Co3Se2Cl1O8,1.5915
Al1Fe3Se2Cl1O8,2.3191
Li1Al2H6Cl1O6,5.1531
Na2Al1H4Cl1O4,4.5162
Li1Al1S3Cl4O6,2.2856
Al1Mo3Se2Cl1O8,0.0692
Al1Se1S2N2Cl5,2.2479
Na2Al2S3Cl8O6,2.5887
Al1Ni3Se2Cl1O8,1.5996
Al1Sn3Se2Cl1O8,2.5163
Ti3Al1Se2Cl1O8,0.3958
Al1V3Se2Cl1O8,1.2699
Al1W3Se2Cl1O8,1.4888
Sr2Al1Ga1Co2O7,0.769
Sr2Al1Cr2Ga1O7,1.1645
Li2Al1Cr2Sb1O8,2.0373
Sr2Y1Al1Cr2O7,1.3326
Al2Cu1Si2O7F2,0.6348
Sr2Al1Fe1Cu2O7,0.3958
Sr2Al1Ga1Cu2O7,0.0114
Sr1Nd3Al1Cu1O8,0.1973
Sr2Al1Cu2Ni1O7,0.0573
Sr2Al1Cu2Sb1O7,0.1344
K1Al1H6O2F6,6.9766
K2Al1H2O1F5,5.9967
Mg1Al1H4O2F5,5.837
Al1H2Pb1O2F3,4.4942
Al1Zn1H4O2F5,5.0567
Li1Al1P1O4F1,5.9118
Na3Al2P2O8F3,4.7689
Na5Al1P2O8F2,4.6654
Na1Al1P1O4F1,5.4295
Na3Al2P2O8F3,4.7401
Sr2Al1Ga1Fe2O7,1.2764
Sr2Y1Al1Fe2O7,1.3779
Sr2Al1Ga1Sn2O7,1.6094
Sr2Al1V2Ga1O7,0.4061
Sr2Al1Ga1W2O7,0.4155
Sr2Al1Ga1W2O7,0.8242
Li1Al1P1H1O5,5.729
Li1Al1Si2H2O7,4.858
Li1Al1Si1H2O5,4.6145
Li1Al1Si2H2O7,3.9817
Li1Al1Si1H2O5,4.4339
Li1Al1Si1H2O5,4.3331
Li1Al1Si1H2O5,4.6638
Li1Al1Si1H2O5,3.0209
Li1Al1Si2H2O7,2.8643
Li1Al1Si1H2O5,1.7218
Na1Al1Si2H2O7,4.7533
La1Ti1Al1Pb1O6,1.8576
Na3Li2Al1Si2O8,4.051
Sr2Y1Mn2Al1O7,0.3919
Nd4Al1Si5N7O7,1.3171
Nd4Al1Si5N7O7,1.6211
Sm4Al1Si5N7O7,1.5404
Sr1Al2Si1N2O3,3.7236
Sr1Al1Si5N7O2,1.7337
Y4Al1Si1N1O8,3.7659
Sr2Y1Al1Ni2O7,0.5647
Sr2Y1Al1Sn2O7,1.1121
Sr2Y1Al1W2O7,0.8197
Na3Bi1B1As1O7,3.2441
Na3Co1B1As1O7,0.3548
Na2Co1B1As1O7,0.3303
Li3Cr1B1As1O7,2.8933
Na3Cr1B1As1O7,2.5311
Li3Fe1B1As1O7,2.1952
Na3Fe1B1As1O7,2.0654
Na2Fe1B1As1O7,0.6268
Li2Mn1B1As1O7,0.7691
Na3Mn1B1As1O7,1.4399
Na2Mn1B1As1O7,0.3288
Na3Ni1B1As1O7,0.6497
Na3B1Sb1As1O7,2.9281
Na2Sn1B1As1O7,1.1458
Na3V1B1As1O7,2.2396
Na2V1B1As1O7,1.5444
Li2Bi1As1C1O7,3.367
Na3Bi1As1C1O7,0.3433
Na3Co1As1C1O7,2.6166
Na2Co1As1C1O7,0.8345
Li2Cr1As1C1O7,2.96
Li1Cr1As1C1O7,0.9972
Na2Cr1As1C1O7,2.7118
Na3Cr1As1C1O7,1.5635
Na1Cr1As1C1O7,0.9438
Cs1As1H6C2Se2,2.2014
Li3Cu1As1C1O7,0.1436
Na3Cu1As1C1O7,0.125
As1H5C1O1F6,5.0325
As1H5C2O2F6,5.2271
As1H3C1S3F6,2.7919
As1C2N1O2F6,4.6508
Te2As1C1N1F6,1.5716
Li2Fe1As1C1O7,2.1987
Li3Fe1As1C1O7,2.5381
Li1Fe1As1C1O7,0.0452
Na3Fe1As1C1O7,2.5037
Na2Fe1As1C1O7,2.1419
Na1Fe1As1C1O7,0.0952
As1H8C1N3O4,3.7938
Li2Mn1As1C1O7,0.7415
Li1Mn1As1C1O7,1.1502
Li3Mn1As1C1O7,2.3055
Li3Ni1As1C1O7,3.3239
Li2As1P1C1O7,4.265
Li2Sb1As1C1O7,3.2399
Li1Sn1As1C1O7,1.9866
Li1V1As1C1O7,1.9692
Na3Mn1As1C1O7,2.3828
Na2Mn1As1C1O7,0.6423
Na1Mn1As1C1O7,1.0809
Na2Ni1As1C1O7,1.1143
Na2As1P1C1O7,4.1675
Na2Sb1As1C1O7,3.2261
Na1Sn1As1C1O7,1.7495
Na3Sn1As1C1O7,2.4229
Na3V1As1C1O7,1.2655
Na1V1As1C1O7,2.0022
Ca1Co1As1H1O5,2.0448
Ca1Cu1As1H1O5,0.2831
Ca1Mg1As1O4F1,3.7523
Ca1Fe1Sb1As2O7,1.8444
Ca1Ni1As1H1O5,2.4759
Ca1Zn1As1H1O5,2.622
Ca1Sb1As2Se1O7,0.4207
Cs2Ce1As1S3Cl2,0.1059
Cu1As2Pb6Cl7O6,2.2101
As1P1Cl3O1F5,4.5067
As1H1Pb4Cl4O4,3.1812
As2Pb4S6I1Cl1,1.829
K1Co2As2H1O8,2.0013
Cs1Sc1As1O4F1,2.2704
Cs1Sc1As2H2O8,3.6849
Zn1Cu1As1H1O5,0.3267
Nd5Fe5As5O4F1,0.1198
Li1As1H2O1F6,4.1762
Li1As1H6O3F6,3.7843
Rb1Sc1As1O4F1,4.0481
Zn1Hg1As1H1O5,1.3969
Sr1Mo1As1H3O8,2.9342
Na1Zn1As1H4O6,3.0309
Zn1As1H1Pb1O5,3.2302
Sr1La1Tl1As2O8,3.5481
Mg1Sb1As2Se1O7,0.5017
Zn1Sb1As2Se1O7,0.4229
K1Ba4Au1C4O4,2.6467
Na1H4Au1Br4O2,0.9742
